artifact_type,name,affected_versions
pypi package,litellm,"1.82.7, 1.82.8"
pypi package,telnyx,"4.87.1, 4.87.2"
docker image,aquasec/trivy,"0.69.4, 0.69.5, 0.69.6"
docker image,ghcr.io/aquasecurity/trivy,"0.69.4, 0.69.5, 0.69.6"
docker image,docker.io/aquasec/trivy,"0.69.4, 0.69.5, 0.69.6"
docker image,public.ecr.aws/aquasecurity/trivy,"0.69.4, 0.69.5, 0.69.6"
github action,aquasecurity/setup-trivy,0.2.0 to 0.2.6
github action,aquasecurity/trivy-action,All tags not starting with v except 0.35.0
github action,Checkmarx/kics-github-action,v1.1
github action,Checkmarx/ast-github-action,v2.3.28
openvsx extension,ast-results,2.53.0
openvsx extension,cx-dev-assist,1.7.0
npm package,@pypestream/floating-ui-dom,2.15.1
npm package,@leafnoise/mirage,2.0.3
npm package,@opengov/ppf-backend-types,1.141.2
npm package,eslint-config-ppf,0.128.2
npm package,react-leaflet-marker-layer,0.1.5
npm package,react-leaflet-cluster-layer,0.0.4
npm package,react-autolink-text,2.0.1
npm package,opengov-k6-core,1.0.2
npm package,jest-preset-ppf,0.0.2
npm package,cit-playwright-tests,1.0.1
npm package,eslint-config-service-users,0.0.3
npm package,babel-plugin-react-pure-component,0.1.6
npm package,@opengov/form-renderer,0.2.20
npm package,@opengov/qa-record-types-api,1.0.3
npm package,@opengov/form-builder,0.12.3
npm package,@opengov/ppf-eslint-config,0.1.11
npm package,@opengov/form-utils,0.7.2
npm package,react-leaflet-heatmap-layer,2.0.1
npm package,@virtahealth/substrate-root,1.0.1
npm package,@airtm/uuid-base32,1.0.2
npm package,@emilgroup/setting-sdk,"0.2.3, 0.2.2, 0.2.1"
npm package,@emilgroup/partner-portal-sdk,"1.1.3, 1.1.2, 1.1.1"
npm package,@emilgroup/gdv-sdk-node,"2.6.3, 2.6.2, 2.6.1"
npm package,@emilgroup/docxtemplater-util,"1.1.4, 1.1.3, 1.1.2"
npm package,@emilgroup/accounting-sdk,"1.27.3, 1.27.2, 1.27.1"
npm package,@emilgroup/task-sdk,"1.0.4, 1.0.3, 1.0.2"
npm package,@emilgroup/setting-sdk-node,"0.2.3, 0.2.2, 0.2.1"
npm package,@emilgroup/task-sdk-node,"1.0.4, 1.0.3, 1.0.2"
npm package,@emilgroup/partner-sdk,"1.19.3, 1.19.2, 1.19.1"
npm package,@emilgroup/numbergenerator-sdk-node,"1.3.3, 1.3.2, 1.3.1"
npm package,@emilgroup/customer-sdk,"1.54.5, 1.54.4, 1.54.3, 1.54.2, 1.54.1"
npm package,@emilgroup/commission-sdk,"1.0.3, 1.0.2, 1.0.1"
npm package,@emilgroup/process-manager-sdk,"1.4.2, 1.4.1"
npm package,@emilgroup/changelog-sdk-node,"1.0.3, 1.0.2"
npm package,@emilgroup/document-sdk-node,"1.43.6, 1.43.5, 1.43.4, 1.43.3, 1.43.2, 1.43.1"
npm package,@emilgroup/commission-sdk-node,"1.0.3, 1.0.2, 1.0.1"
npm package,@emilgroup/document-uploader,"0.0.12, 0.0.11, 0.0.10"
npm package,@emilgroup/discount-sdk,"1.5.3, 1.5.2, 1.5.1"
npm package,@emilgroup/discount-sdk-node,"1.5.2, 1.5.1"
npm package,@teale.io/eslint-config,"1.8.16, 1.8.15, 1.8.14, 1.8.13, 1.8.12, 1.8.11, 1.8.10, 1.8.9"
npm package,@emilgroup/insurance-sdk,"1.97.6, 1.97.5, 1.97.4, 1.97.3, 1.97.2, 1.97.1"
npm package,@emilgroup/account-sdk,"1.41.2, 1.41.1"
npm package,@emilgroup/account-sdk-node,"1.40.2, 1.40.1"
npm package,@emilgroup/accounting-sdk-node,"1.26.2, 1.26.1"
npm package,@emilgroup/api-documentation,"1.19.2, 1.19.1"
npm package,@emilgroup/auth-sdk,"1.25.2, 1.25.1"
npm package,@emilgroup/auth-sdk-node,"1.21.2, 1.21.1"
npm package,@emilgroup/billing-sdk,"1.56.2, 1.56.1"
npm package,@emilgroup/billing-sdk-node,"1.57.2, 1.57.1"
npm package,@emilgroup/claim-sdk,"1.41.2, 1.41.1"
npm package,@emilgroup/claim-sdk-node,"1.39.2, 1.39.1"
npm package,@emilgroup/customer-sdk-node,"1.55.2, 1.55.1"
npm package,@emilgroup/document-sdk,"1.45.2, 1.45.1"
npm package,@emilgroup/gdv-sdk,"2.6.2, 2.6.1"
npm package,@emilgroup/insurance-sdk-node,"1.95.2, 1.95.1"
npm package,@emilgroup/notification-sdk-node,"1.4.2, 1.4.1"
npm package,@emilgroup/partner-portal-sdk-node,"1.1.2, 1.1.1"
npm package,@emilgroup/partner-sdk-node,"1.19.2, 1.19.1"
npm package,@emilgroup/payment-sdk,"1.15.2, 1.15.1"
npm package,@emilgroup/payment-sdk-node,"1.23.2, 1.23.1"
npm package,@emilgroup/process-manager-sdk-node,"1.13.2, 1.13.1"
npm package,@emilgroup/public-api-sdk,"1.33.2, 1.33.1"
npm package,@emilgroup/public-api-sdk-node,"1.35.2, 1.35.1"
npm package,@emilgroup/tenant-sdk,"1.34.2, 1.34.1"
npm package,@emilgroup/tenant-sdk-node,"1.33.2, 1.33.1"
npm package,@emilgroup/translation-sdk-node,"1.1.2, 1.1.1"
